"description"	"symbol"	"efo"	"gene"	"chromosome"	"init_pos"	"genome_reference"	"chosen_gene_idx"	"position"	"row_number"
"Blood Coagulation Disorders"	"F9"	"EFO_0009314,Orphanet_448"	"ENSG00000101981"	"chrX"	139547099	"hg38"	4	139924189.5	204
"Blood Coagulation Disorders"	"PLAU"	"EFO_0009314,Orphanet_448"	"ENSG00000122861"	"chr10"	73914313	"hg38"	1	73914313	205
"Bone Neoplasms"	"IFNAR2"	"EFO_0003820"	"ENSG00000159110"	"chr21"	33247801	"hg38"	3	33281794	206
"Brain Neoplasms"	"CD276"	"EFO_0003833,MONDO_0001657"	"ENSG00000103855"	"chr15"	73699448.5	"hg38"	2	73744404.5	207
"Brain Neoplasms"	"IFNAR2"	"EFO_0003833,MONDO_0001657"	"ENSG00000159110"	"chr21"	33247801	"hg38"	2	33263419.5	208
"Brain Neoplasms"	"VEGFA"	"EFO_0003833,MONDO_0001657"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	209
"Breast Neoplasms"	"ABCB1"	"EFO_0000305"	"ENSG00000085563"	"chr7"	87551950.5	"hg38"	1	87551950.5	210
"Breast Neoplasms"	"ANPEP"	"EFO_0000305"	"ENSG00000166825"	"chr15"	89799873.5	"hg38"	1	89799873.5	211
"Breast Neoplasms"	"CD274"	"EFO_0000305"	"ENSG00000120217"	"chr9"	5460548	"hg38"	0	5460548	212
"Breast Neoplasms"	"CDK4"	"EFO_0000305"	"ENSG00000135446"	"chr12"	57750018.5	"hg38"	3	57748650	213
"Breast Neoplasms"	"CDK6"	"EFO_0000305"	"ENSG00000105810"	"chr7"	92720747	"hg38"	1	92720747	214
"Breast Neoplasms"	"EGFR"	"EFO_0000305"	"ENSG00000146648"	"chr7"	55115322.5	"hg38"	3	55521557.5	215
"Breast Neoplasms"	"ERBB2"	"EFO_0000305"	"ENSG00000141736"	"chr17"	39714361	"hg38"	1	39714361	216
"Breast Neoplasms"	"ERBB4"	"EFO_0000305"	"ENSG00000178568"	"chr2"	211957259.5	"hg38"	1	212426311.5	217
"Breast Neoplasms"	"ESR1"	"EFO_0000305"	"ENSG00000091831"	"chr6"	151955478	"hg38"	2	152379524.5	218
"Breast Neoplasms"	"GNRH1"	"EFO_0000305"	"ENSG00000147437"	"chr8"	25421759.5	"hg38"	1	25421759.5	219
"Breast Neoplasms"	"GNRHR"	"EFO_0000305"	"ENSG00000109163"	"chr4"	67745753	"hg38"	0	67745753	220
"Breast Neoplasms"	"HDAC10"	"EFO_0000305"	"ENSG00000100429"	"chr22"	50248224	"hg38"	1	50248224	221
"Breast Neoplasms"	"IL2RA"	"EFO_0000305"	"ENSG00000134460"	"chr10"	6036528	"hg38"	3	5964963.5	222
"Breast Neoplasms"	"PARP1"	"EFO_0000305"	"ENSG00000143799"	"chr1"	226384392	"hg38"	14	226883357	223
"Breast Neoplasms"	"PARP2"	"EFO_0000305"	"ENSG00000129484"	"chr14"	20350769.5	"hg38"	1	20350769.5	224
"Breast Neoplasms"	"PDCD1"	"EFO_0000305"	"ENSG00000188389"	"chr2"	241854389	"hg38"	0	241854389	225
"Breast Neoplasms"	"PIK3CA"	"EFO_0000305"	"ENSG00000121879"	"chr3"	179194225	"hg38"	2	179246942.5	226
"Breast Neoplasms"	"TACSTD2"	"EFO_0000305"	"ENSG00000184292"	"chr1"	58576342.5	"hg38"	2	58513722.5	227
"Breast Neoplasms"	"TLR3"	"EFO_0000305"	"ENSG00000164342"	"chr4"	186078614.5	"hg38"	1	186078614.5	228
"Breast Neoplasms"	"TNFRSF1A"	"EFO_0000305"	"ENSG00000067182"	"chr12"	6335423.5	"hg38"	2	6319594	229
"Breast Neoplasms"	"TOP1"	"EFO_0000305"	"ENSG00000198900"	"chr20"	41076654.5	"hg38"	1	41076654.5	230
"Breast Neoplasms"	"TOP2A"	"EFO_0000305"	"ENSG00000131747"	"chr17"	40403210.5	"hg38"	1	40403210.5	231
"Breast Neoplasms"	"TUBB"	"EFO_0000305"	"ENSG00000196230"	"chr6"	30722887	"hg38"	3	30708544	232
"Breast Neoplasms"	"TYMS"	"EFO_0000305"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	3	623585	233
"Breast Neoplasms"	"VEGFA"	"EFO_0000305"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	234
"Bronchiolitis Obliterans"	"IFNA1"	"EFO_0007183"	"ENSG00000197919"	"chr9"	21440877.5	"hg38"	1	21440877.5	235
"Bulimia"	"HTR2C"	"EFO_0005204"	"ENSG00000147246"	"chrX"	114747073.5	"hg38"	6	114651583.5	236
"Bulimia"	"SLC6A4"	"EFO_0005204"	"ENSG00000108576"	"chr17"	30215008	"hg38"	2	30151645.5	237
"Burns"	"EGFR"	"MONDO_0043519"	"ENSG00000146648"	"chr7"	55115322.5	"hg38"	1	55115322.5	238
"Burns"	"FGF2"	"MONDO_0043519"	"ENSG00000138685"	"chr4"	122862533.5	"hg38"	1	122862533.5	239
"Burns"	"FGFR1"	"MONDO_0043519"	"ENSG00000077782"	"chr8"	38439889	"hg38"	1	38439889	240
"Bursitis"	"PTGS1"	"MONDO_0002471"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	241
"Bursitis"	"PTGS2"	"MONDO_0002471"	"ENSG00000073756"	"chr1"	186676107	"hg38"	3	186452340	242
"Cachexia"	"GHSR"	"HP_0004326"	"ENSG00000121853"	"chr3"	172445873.5	"hg38"	2	172220623.5	243
"Cachexia"	"PGR"	"HP_0004326"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	1	101079718.5	244
"Candidiasis"	"IL2RA"	"MONDO_0002026,NCBITaxon_5476"	"ENSG00000134460"	"chr10"	6036528	"hg38"	1	6036528	245
"Carcinoma, Non-Small-Cell Lung"	"ABCB1"	"EFO_0003060"	"ENSG00000085563"	"chr7"	87551950.5	"hg38"	1	87551950.5	246
"Carcinoma, Non-Small-Cell Lung"	"ALK"	"EFO_0003060"	"ENSG00000171094"	"chr2"	29557180	"hg38"	1	29557180	247
"Carcinoma, Non-Small-Cell Lung"	"BRAF"	"EFO_0003060"	"ENSG00000157764"	"chr7"	140827797	"hg38"	2	140701675.5	248
"Carcinoma, Non-Small-Cell Lung"	"BTK"	"EFO_0003060"	"ENSG00000010671"	"chrX"	101367820.5	"hg38"	1	101367820.5	249
"Carcinoma, Non-Small-Cell Lung"	"CD274"	"EFO_0003060"	"ENSG00000120217"	"chr9"	5460548	"hg38"	1	5460548	250
"Carcinoma, Non-Small-Cell Lung"	"CTLA4"	"EFO_0003060"	"ENSG00000163599"	"chr2"	203870868	"hg38"	1	203870868	251
"Carcinoma, Non-Small-Cell Lung"	"DHFR"	"EFO_0003060"	"ENSG00000228716"	"chr5"	80640604.5	"hg38"	1	80640604.5	252
"Carcinoma, Non-Small-Cell Lung"	"EGFR"	"EFO_0003060"	"ENSG00000146648"	"chr7"	55115322.5	"hg38"	4	54755732	253
"Carcinoma, Non-Small-Cell Lung"	"EPHA2"	"EFO_0003060"	"ENSG00000142627"	"chr1"	16140203	"hg38"	11	15894081.5	254
"Carcinoma, Non-Small-Cell Lung"	"ERBB2"	"EFO_0003060"	"ENSG00000141736"	"chr17"	39714361	"hg38"	2	39726528	255
"Carcinoma, Non-Small-Cell Lung"	"ERBB3"	"EFO_0003060"	"ENSG00000065361"	"chr12"	56091835	"hg38"	1	56091835	256
"Carcinoma, Non-Small-Cell Lung"	"ERBB4"	"EFO_0003060"	"ENSG00000178568"	"chr2"	211957259.5	"hg38"	1	212426311.5	257
"Carcinoma, Non-Small-Cell Lung"	"FGFR1"	"EFO_0003060"	"ENSG00000077782"	"chr8"	38439889	"hg38"	2	38398001.5	258
"Carcinoma, Non-Small-Cell Lung"	"FGFR2"	"EFO_0003060"	"ENSG00000066468"	"chr10"	121538388	"hg38"	1	121538388	259
"Carcinoma, Non-Small-Cell Lung"	"FGFR3"	"EFO_0003060"	"ENSG00000068078"	"chr4"	1801080	"hg38"	1	1801080	260
"Carcinoma, Non-Small-Cell Lung"	"FGFR4"	"EFO_0003060"	"ENSG00000160867"	"chr5"	177092529.5	"hg38"	1	177092529.5	261
"Carcinoma, Non-Small-Cell Lung"	"FLT1"	"EFO_0003060"	"ENSG00000102755"	"chr13"	28397737	"hg38"	0	28397737	262
"Carcinoma, Non-Small-Cell Lung"	"FLT4"	"EFO_0003060"	"ENSG00000037280"	"chr5"	180625553	"hg38"	6	180854443.5	263
"Carcinoma, Non-Small-Cell Lung"	"FOLH1"	"EFO_0003060"	"ENSG00000086205"	"chr11"	49176847	"hg38"	3	49033489	264
"Carcinoma, Non-Small-Cell Lung"	"GART"	"EFO_0003060"	"ENSG00000159131"	"chr21"	33523025	"hg38"	6	33583117.5	265
"Carcinoma, Non-Small-Cell Lung"	"KDR"	"EFO_0003060"	"ENSG00000128052"	"chr4"	55102038	"hg38"	0	55102038	266
"Carcinoma, Non-Small-Cell Lung"	"KRAS"	"EFO_0003060"	"ENSG00000133703"	"chr12"	25228087.5	"hg38"	1	25228087.5	267
"Carcinoma, Non-Small-Cell Lung"	"LYN"	"EFO_0003060"	"ENSG00000254087"	"chr8"	55947002	"hg38"	6	56186091	268
"Carcinoma, Non-Small-Cell Lung"	"MAP2K1"	"EFO_0003060"	"ENSG00000169032"	"chr15"	66439228	"hg38"	2	66495615	269
"Carcinoma, Non-Small-Cell Lung"	"MAP2K2"	"EFO_0003060"	"ENSG00000126934"	"chr19"	4107221.5	"hg38"	11	3961463	270
"Carcinoma, Non-Small-Cell Lung"	"NTRK1"	"EFO_0003060"	"ENSG00000198400"	"chr1"	156871357.5	"hg38"	18	157129793	271
"Carcinoma, Non-Small-Cell Lung"	"NTRK2"	"EFO_0003060"	"ENSG00000148053"	"chr9"	84848391.5	"hg38"	1	84848391.5	272
"Carcinoma, Non-Small-Cell Lung"	"NTRK3"	"EFO_0003060"	"ENSG00000140538"	"chr15"	88058245	"hg38"	3	88503043	273
"Carcinoma, Non-Small-Cell Lung"	"PDCD1"	"EFO_0003060"	"ENSG00000188389"	"chr2"	241854389	"hg38"	1	241854389	274
"Carcinoma, Non-Small-Cell Lung"	"PDGFRA"	"EFO_0003060"	"ENSG00000134853"	"chr4"	54263769	"hg38"	3	54101330.5	275
"Carcinoma, Non-Small-Cell Lung"	"RET"	"EFO_0003060"	"ENSG00000165731"	"chr10"	43103710	"hg38"	1	43103710	276
"Carcinoma, Non-Small-Cell Lung"	"ROS1"	"EFO_0003060"	"ENSG00000047936"	"chr6"	117356647.5	"hg38"	1	117356647.5	277
"Carcinoma, Non-Small-Cell Lung"	"TUBB"	"EFO_0003060"	"ENSG00000196230"	"chr6"	30722887	"hg38"	3	30708544	278
"Carcinoma, Non-Small-Cell Lung"	"TYMS"	"EFO_0003060"	"ENSG00000176890"	"chr18"	665615.5	"hg38"	2	691474	279
"Carcinoma, Non-Small-Cell Lung"	"VEGFA"	"EFO_0003060"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	280
"Cardiovascular Diseases"	"PLAT"	"EFO_0000319"	"ENSG00000104368"	"chr8"	42191141.5	"hg38"	3	42301881	281
"Cataplexy"	"HRH3"	"HP_0002524"	"ENSG00000101180"	"chr20"	62217619	"hg38"	18	62554341	282
"Cataract"	"NR3C1"	"MONDO_0005129"	"ENSG00000113580"	"chr5"	143340810	"hg38"	2	142999692	283
"Cataract"	"PTGS1"	"MONDO_0005129"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	284
"Cataract"	"PTGS2"	"MONDO_0005129"	"ENSG00000073756"	"chr1"	186676107	"hg38"	2	186908965	285
"Brain Ischemia"	"EDNRB"	"HP_0002637"	"ENSG00000136160"	"chr13"	77907159	"hg38"	2	77730958	286
"Brain Ischemia"	"F10"	"HP_0002637"	"ENSG00000126218"	"chr13"	113136164	"hg38"	6	113238360.5	287
"Brain Ischemia"	"F2"	"HP_0002637"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	1	46729359.5	288
"Brain Ischemia"	"PLAT"	"HP_0002637"	"ENSG00000104368"	"chr8"	42191141.5	"hg38"	1	42191141.5	289
"Cerebral Palsy"	"GABBR1"	"EFO_1000632"	"ENSG00000204681"	"chr6"	29617710.5	"hg38"	1	29617710.5	290
"Uterine Cervical Neoplasms"	"CTLA4"	"MONDO_0002974"	"ENSG00000163599"	"chr2"	203870868	"hg38"	2	203949170	291
"Uterine Cervical Neoplasms"	"F3"	"MONDO_0002974"	"ENSG00000117525"	"chr1"	94535466	"hg38"	0	94535466	292
"Uterine Cervical Neoplasms"	"IFNAR2"	"MONDO_0002974"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	293
"Uterine Cervical Neoplasms"	"PDCD1"	"MONDO_0002974"	"ENSG00000188389"	"chr2"	241854389	"hg38"	2	241871776	294
"Uterine Cervical Neoplasms"	"VEGFA"	"MONDO_0002974"	"ENSG00000112715"	"chr6"	43778349	"hg38"	1	43778349	295
"Hemophilia B"	"F10"	"Orphanet_98879"	"ENSG00000126218"	"chr13"	113136164	"hg38"	12	113473265	296
"Hemophilia B"	"F2"	"Orphanet_98879"	"ENSG00000180210"	"chr11"	46729359.5	"hg38"	1	46729359.5	297
"Hemophilia B"	"F7"	"Orphanet_98879"	"ENSG00000057593"	"chr13"	113113238	"hg38"	1	113113238	298
"Hemophilia B"	"F9"	"Orphanet_98879"	"ENSG00000101981"	"chrX"	139547099	"hg38"	5	139960624.5	299
"Cluster Headache"	"CALCA"	"HP_0012199"	"ENSG00000110680"	"chr11"	14970426	"hg38"	0	14970426	300
"Colitis"	"NR3C1"	"EFO_0003872"	"ENSG00000113580"	"chr5"	143340810	"hg38"	3	143679915.5	301
"Colitis, Ulcerative"	"IL12B"	"EFO_0000729"	"ENSG00000113302"	"chr5"	159322633.5	"hg38"	3	159183481	302
"Colitis, Ulcerative"	"IL23A"	"EFO_0000729"	"ENSG00000110944"	"chr12"	56339647	"hg38"	1	56339647	303
"Colitis, Ulcerative"	"ITGA4"	"EFO_0000729"	"ENSG00000115232"	"chr2"	181498163	"hg38"	1	181498163	304
"Colitis, Ulcerative"	"JAK1"	"EFO_0000729"	"ENSG00000162434"	"chr1"	64899889	"hg38"	1	64899889	305
"Colitis, Ulcerative"	"JAK3"	"EFO_0000729"	"ENSG00000105639"	"chr19"	17836382	"hg38"	1	17836382	306
"Colitis, Ulcerative"	"NR3C1"	"EFO_0000729"	"ENSG00000113580"	"chr5"	143340810	"hg38"	1	143340810	307
"Colitis, Ulcerative"	"PTGS1"	"EFO_0000729"	"ENSG00000095303"	"chr9"	122383363.5	"hg38"	1	122383363.5	308
"Colitis, Ulcerative"	"PTGS2"	"EFO_0000729"	"ENSG00000073756"	"chr1"	186676107	"hg38"	0	186676107	309
"Colitis, Ulcerative"	"S1PR1"	"EFO_0000729"	"ENSG00000170989"	"chr1"	101239268.5	"hg38"	1	101239268.5	310
"Colitis, Ulcerative"	"S1PR5"	"EFO_0000729"	"ENSG00000180739"	"chr19"	10515094.5	"hg38"	1	10515094.5	311
"Colitis, Ulcerative"	"TNF"	"EFO_0000729"	"ENSG00000232810"	"chr6"	31576950.5	"hg38"	2	31573306.5	312
"Common Cold"	"HRH1"	"EFO_0007214"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	313
"Common Cold"	"OPRM1"	"EFO_0007214"	"ENSG00000112038"	"chr6"	154085798	"hg38"	2	154255649.5	314
"Conjunctivitis, Allergic"	"FKBP1A"	"EFO_0007141"	"ENSG00000088832"	"chr20"	1381016	"hg38"	1	1355734.5	315
"Conjunctivitis, Allergic"	"HRH1"	"EFO_0007141"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	316
"Conjunctivitis, Allergic"	"PPIA"	"EFO_0007141"	"ENSG00000196262"	"chr7"	44799899	"hg38"	1	44799899	317
"Constipation"	"CLCN2"	"MONDO_0002203,HP_0012450"	"ENSG00000114859"	"chr3"	184353895	"hg38"	3	184365150.5	318
"Constipation"	"GUCY2C"	"MONDO_0002203,HP_0012450"	"ENSG00000070019"	"chr12"	14654615.5	"hg38"	1	14654615.5	319
"Constipation"	"SLC10A2"	"MONDO_0002203,HP_0012450"	"ENSG00000125255"	"chr13"	103055207.5	"hg38"	2	102861013.5	320
"Constipation"	"TRPA1"	"MONDO_0002203,HP_0012450"	"ENSG00000104321"	"chr8"	72048417	"hg38"	1	72048417	321
"Contraception"	"ESR1"	"EFO_0009520"	"ENSG00000091831"	"chr6"	151955478	"hg38"	1	151955478	322
"Contraception"	"PGR"	"EFO_0009520"	"ENSG00000082175"	"chr11"	101079718.5	"hg38"	1	101079718.5	323
"Coronary Thrombosis"	"ITGA2B"	"EFO_1000883"	"ENSG00000005961"	"chr17"	44380915	"hg38"	1	44380915	324
"Coronary Thrombosis"	"ITGAV"	"EFO_1000883"	"ENSG00000138448"	"chr2"	186635478.5	"hg38"	1	186635478.5	325
"Coronary Thrombosis"	"ITGB2"	"EFO_1000883"	"ENSG00000160255"	"chr21"	44903426	"hg38"	3	44958501	326
"Coronary Thrombosis"	"ITGB3"	"EFO_1000883"	"ENSG00000259207"	"chr17"	47283785	"hg38"	1	47283785	327
"Cough"	"HRH1"	"HP_0012735"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	328
"Cough"	"OPRM1"	"HP_0012735"	"ENSG00000112038"	"chr6"	154085798	"hg38"	2	154255649.5	329
"Cough"	"P2RX3"	"HP_0012735"	"ENSG00000109991"	"chr11"	57355374	"hg38"	1	57355374	330
"Crohn Disease"	"IL12B"	"EFO_0000384"	"ENSG00000113302"	"chr5"	159322633.5	"hg38"	1	159322633.5	331
"Crohn Disease"	"IL23A"	"EFO_0000384"	"ENSG00000110944"	"chr12"	56339647	"hg38"	5	56312916	332
"Crohn Disease"	"NR3C1"	"EFO_0000384"	"ENSG00000113580"	"chr5"	143340810	"hg38"	2	142999692	333
"Crohn Disease"	"TNF"	"EFO_0000384"	"ENSG00000232810"	"chr6"	31576950.5	"hg38"	9	31536114.5	334
"Cryptorchidism"	"LHCGR"	"EFO_0004562"	"ENSG00000138039"	"chr2"	48721249	"hg38"	1	48694007.5	335
"Cystic Fibrosis"	"CFTR"	"Orphanet_586"	"ENSG00000001626"	"chr7"	117574345	"hg38"	5	117091838.5	336
"Cystic Fibrosis"	"DNASE1"	"Orphanet_586"	"ENSG00000213918"	"chr16"	3656393	"hg38"	1	3656393	337
"Hepatitis D"	"IFNAR2"	"EFO_0007304"	"ENSG00000159110"	"chr21"	33247801	"hg38"	1	33247801	338
"Hepatitis D"	"SLC10A1"	"EFO_0007304"	"ENSG00000100652"	"chr14"	69786328.5	"hg38"	1	69786328.5	339
"Dementia"	"ACHE"	"HP_0000726"	"ENSG00000087085"	"chr7"	100892941	"hg38"	2	100889218	340
"Dementia"	"BCHE"	"HP_0000726"	"ENSG00000114200"	"chr3"	165805163.5	"hg38"	1	165805163.5	341
"Depression"	"ADRA1A"	"MONDO_0002050"	"ENSG00000120907"	"chr8"	26818043.5	"hg38"	6	27246856	342
"Depression"	"DRD1"	"MONDO_0002050"	"ENSG00000184845"	"chr5"	175442109	"hg38"	1	175442109	343
"Depression"	"DRD2"	"MONDO_0002050"	"ENSG00000149295"	"chr11"	113442501.5	"hg38"	6	113696929	344
"Depression"	"HRH1"	"MONDO_0002050"	"ENSG00000196639"	"chr3"	11209025	"hg38"	2	11415031	345
"Depression"	"HTR1A"	"MONDO_0002050"	"ENSG00000178394"	"chr5"	63960159.5	"hg38"	1	63960159.5	346
"Depression"	"HTR2C"	"MONDO_0002050"	"ENSG00000147246"	"chrX"	114747073.5	"hg38"	2	114763223.5	347
"Depression"	"SLC6A2"	"MONDO_0002050"	"ENSG00000103546"	"chr16"	55681090	"hg38"	0	55681090	348
"Depression"	"SLC6A3"	"MONDO_0002050"	"ENSG00000142319"	"chr5"	1419117	"hg38"	2	1492693.5	349
"Depression"	"SLC6A4"	"MONDO_0002050"	"ENSG00000108576"	"chr17"	30215008	"hg38"	3	30270073.5	350
"Depression"	"TACR1"	"MONDO_0002050"	"ENSG00000115353"	"chr2"	75122991.5	"hg38"	0	75122991.5	351
"Depressive Disorder, Major"	"ADRA1A"	"MONDO_0002009"	"ENSG00000120907"	"chr8"	26818043.5	"hg38"	1	26818043.5	352
"Depressive Disorder, Major"	"DRD1"	"MONDO_0002009"	"ENSG00000184845"	"chr5"	175442109	"hg38"	1	175442109	353
"Depressive Disorder, Major"	"DRD2"	"MONDO_0002009"	"ENSG00000149295"	"chr11"	113442501.5	"hg38"	1	113442501.5	354
"Depressive Disorder, Major"	"DRD3"	"MONDO_0002009"	"ENSG00000151577"	"chr3"	114153316	"hg38"	1	114153316	355
"Depressive Disorder, Major"	"GABRA1"	"MONDO_0002009"	"ENSG00000022355"	"chr5"	161874045.5	"hg38"	2	161694156.5	356
"Depressive Disorder, Major"	"HRH1"	"MONDO_0002009"	"ENSG00000196639"	"chr3"	11209025	"hg38"	1	11209025	357
"Depressive Disorder, Major"	"HTR1A"	"MONDO_0002009"	"ENSG00000178394"	"chr5"	63960159.5	"hg38"	1	63960159.5	358
"Depressive Disorder, Major"	"HTR1B"	"MONDO_0002009"	"ENSG00000135312"	"chr6"	77462207.5	"hg38"	1	77462207.5	359
"Depressive Disorder, Major"	"HTR1D"	"MONDO_0002009"	"ENSG00000179546"	"chr1"	23204698.5	"hg38"	1	23204698.5	360
"Depressive Disorder, Major"	"HTR2A"	"MONDO_0002009"	"ENSG00000102468"	"chr13"	46864299.5	"hg38"	1	46864299.5	361
"Depressive Disorder, Major"	"HTR7"	"MONDO_0002009"	"ENSG00000148680"	"chr10"	90799431	"hg38"	1	90799431	362
"Depressive Disorder, Major"	"MAOA"	"MONDO_0002009"	"ENSG00000189221"	"chrX"	43701558	"hg38"	1	43701558	363
"Depressive Disorder, Major"	"MAOB"	"MONDO_0002009"	"ENSG00000069535"	"chrX"	43824530	"hg38"	1	43824530	364
"Depressive Disorder, Major"	"SLC6A2"	"MONDO_0002009"	"ENSG00000103546"	"chr16"	55681090	"hg38"	2	55547869	365
"Depressive Disorder, Major"	"SLC6A3"	"MONDO_0002009"	"ENSG00000142319"	"chr5"	1419117	"hg38"	1	1419117	366
"Depressive Disorder, Major"	"SLC6A4"	"MONDO_0002009"	"ENSG00000108576"	"chr17"	30215008	"hg38"	2	30151645.5	367
"Dermatitis, Atopic"	"FKBP1A"	"EFO_0000274"	"ENSG00000088832"	"chr20"	1381016	"hg38"	1	1355734.5	368
"Dermatitis, Atopic"	"IL13"	"EFO_0000274"	"ENSG00000169194"	"chr5"	132659641.5	"hg38"	1	132659641.5	369
"Dermatitis, Atopic"	"IL31"	"EFO_0000274"	"ENSG00000204671"	"chr12"	122173125	"hg38"	1	122173125	370
"Dermatitis, Atopic"	"IL4R"	"EFO_0000274"	"ENSG00000077238"	"chr16"	27339376	"hg38"	3	27246883	371
"Dermatitis, Atopic"	"JAK1"	"EFO_0000274"	"ENSG00000162434"	"chr1"	64899889	"hg38"	0	64899889	372
"Dermatitis, Atopic"	"JAK2"	"EFO_0000274"	"ENSG00000096968"	"chr9"	5057610	"hg38"	2	5174753.5	373
"Dermatitis, Atopic"	"JAK3"	"EFO_0000274"	"ENSG00000105639"	"chr19"	17836382	"hg38"	2	17819015.5	374
"Dermatitis, Atopic"	"NR3C1"	"EFO_0000274"	"ENSG00000113580"	"chr5"	143340810	"hg38"	3	143679915.5	375
"Dermatitis, Atopic"	"PDE4A"	"EFO_0000274"	"ENSG00000065989"	"chr19"	10445084	"hg38"	16	10310718	376
"Dermatitis, Atopic"	"PDE4B"	"EFO_0000274"	"ENSG00000184588"	"chr1"	66083734.5	"hg38"	2	65531113.5	377
"Dermatitis, Atopic"	"PDE4C"	"EFO_0000274"	"ENSG00000105650"	"chr19"	18217201.5	"hg38"	1	18231690	378
"Dermatitis, Atopic"	"PDE4D"	"EFO_0000274"	"ENSG00000113448"	"chr5"	59431382	"hg38"	2	59703654.5	379
"Dermatitis, Atopic"	"TYK2"	"EFO_0000274"	"ENSG00000105397"	"chr19"	10365552.5	"hg38"	1	10365552.5	380
"Diabetes Mellitus"	"ABCC8"	"EFO_0000400"	"ENSG00000006071"	"chr11"	17434865	"hg38"	1	17434865	381
"Diabetes Mellitus"	"GCG"	"EFO_0000400"	"ENSG00000115263"	"chr2"	162147564.5	"hg38"	1	162147564.5	382
"Diabetes Mellitus"	"INSR"	"EFO_0000400"	"ENSG00000171105"	"chr19"	7203339.5	"hg38"	1	7203339.5	383
"Diabetes Mellitus"	"KCNJ11"	"EFO_0000400"	"ENSG00000187486"	"chr11"	17386953.5	"hg38"	1	17386953.5	384
"Diabetes Mellitus, Type 1"	"CD3E"	"MONDO_0005147"	"ENSG00000198851"	"chr11"	118310451.5	"hg38"	20	118644039.5	385
"Diabetes Mellitus, Type 1"	"INSR"	"MONDO_0005147"	"ENSG00000171105"	"chr19"	7203339.5	"hg38"	1	7203339.5	386
"Diabetes Mellitus, Type 1"	"SLC5A1"	"MONDO_0005147"	"ENSG00000100170"	"chr22"	32078145	"hg38"	1	32078145	387
"Diabetes Mellitus, Type 1"	"SLC5A2"	"MONDO_0005147"	"ENSG00000140675"	"chr16"	31486946	"hg38"	16	31144496	388
"Diabetes Mellitus, Type 2"	"ABCC8"	"MONDO_0005148"	"ENSG00000006071"	"chr11"	17434865	"hg38"	1	17434865	389
"Diabetes Mellitus, Type 2"	"AR"	"MONDO_0005148"	"ENSG00000169083"	"chrX"	67637320	"hg38"	1	67637320	390
"Diabetes Mellitus, Type 2"	"DPP4"	"MONDO_0005148"	"ENSG00000197635"	"chr2"	162033230	"hg38"	3	162147564.5	391
"Diabetes Mellitus, Type 2"	"GAA"	"MONDO_0005148"	"ENSG00000171298"	"chr17"	80110731	"hg38"	3	80098852.5	392
"Diabetes Mellitus, Type 2"	"GCK"	"MONDO_0005148"	"ENSG00000106633"	"chr7"	44166857	"hg38"	2	44140098	393
"Diabetes Mellitus, Type 2"	"GIPR"	"MONDO_0005148"	"ENSG00000010310"	"chr19"	45675971.5	"hg38"	7	45624398.5	394
"Diabetes Mellitus, Type 2"	"GLP1R"	"MONDO_0005148"	"ENSG00000112164"	"chr6"	39070042	"hg38"	4	39209223	395
"Diabetes Mellitus, Type 2"	"INS"	"MONDO_0005148"	"ENSG00000254647"	"chr11"	2160494	"hg38"	3	2167872	396
"Diabetes Mellitus, Type 2"	"INSR"	"MONDO_0005148"	"ENSG00000171105"	"chr19"	7203339.5	"hg38"	2	7078835.5	397
"Diabetes Mellitus, Type 2"	"KCNJ11"	"MONDO_0005148"	"ENSG00000187486"	"chr11"	17386953.5	"hg38"	1	17386953.5	398
"Diabetes Mellitus, Type 2"	"PPARA"	"MONDO_0005148"	"ENSG00000186951"	"chr22"	46197140.5	"hg38"	1	46197140.5	399
"Diabetes Mellitus, Type 2"	"PPARD"	"MONDO_0005148"	"ENSG00000112033"	"chr6"	35385368	"hg38"	1	35385368	400
"Diabetes Mellitus, Type 2"	"PPARG"	"MONDO_0005148"	"ENSG00000132170"	"chr3"	12361707	"hg38"	3	12098210	401
"Diabetes Mellitus, Type 2"	"SLC5A1"	"MONDO_0005148"	"ENSG00000100170"	"chr22"	32078145	"hg38"	1	32078145	402
"Diabetes Mellitus, Type 2"	"SLC5A2"	"MONDO_0005148"	"ENSG00000140675"	"chr16"	31486946	"hg38"	1	31486946	403
"Diabetic Nephropathies"	"SLC5A2"	"EFO_0000401"	"ENSG00000140675"	"chr16"	31486946	"hg38"	6	31439111.5	404
"Diabetic Neuropathies"	"CACNA2D1"	"EFO_1000783"	"ENSG00000153956"	"chr7"	82195110.5	"hg38"	1	82195110.5	405
